age,sex,edu,polviews,time_took,issue,type,opinion,mf,value,id
41,Female,<bach,7,11.95,paidlvdv,against,1,Violence,0,925
41,Female,<bach,7,11.95,paidlvdv,pro,0,Authority,0,925
41,Female,<bach,7,11.95,paidlvdv,pro,0,Fairness,0,925
41,Female,<bach,7,11.95,paidlvdv,pro,0,Harm,0,925
41,Female,<bach,7,11.95,paidlvdv,pro,0,Ingroup,0,925
41,Female,<bach,7,11.95,paidlvdv,pro,0,Liberty,1,925
41,Female,<bach,7,11.95,paidlvdv,pro,0,other,0,925
41,Female,<bach,7,11.95,paidlvdv,pro,0,Purity,0,925
41,Female,<bach,7,11.95,paidlvdv,pro,0,Violence,0,925
20,Male,<bach,4,5.45,cctv,against,0,Authority,0,926
20,Male,<bach,4,5.45,cctv,against,0,Fairness,0,926
20,Male,<bach,4,5.45,cctv,against,0,Harm,0,926
20,Male,<bach,4,5.45,cctv,against,0,Ingroup,0,926
20,Male,<bach,4,5.45,cctv,against,0,Liberty,1,926
20,Male,<bach,4,5.45,cctv,against,0,other,0,926
20,Male,<bach,4,5.45,cctv,against,0,Purity,0,926
20,Male,<bach,4,5.45,cctv,against,0,Violence,0,926
20,Male,<bach,4,5.45,cctv,pro,1,Authority,0,926
20,Male,<bach,4,5.45,cctv,pro,1,Fairness,0,926
20,Male,<bach,4,5.45,cctv,pro,1,Harm,0,926
20,Male,<bach,4,5.45,cctv,pro,1,Ingroup,1,926
20,Male,<bach,4,5.45,cctv,pro,1,Liberty,0,926
20,Male,<bach,4,5.45,cctv,pro,1,other,0,926
20,Male,<bach,4,5.45,cctv,pro,1,Purity,0,926
20,Male,<bach,4,5.45,cctv,pro,1,Violence,0,926
20,Male,<bach,4,5.45,emonitor,against,1,Authority,0,926
20,Male,<bach,4,5.45,emonitor,against,1,Fairness,1,926
20,Male,<bach,4,5.45,emonitor,against,1,Harm,0,926
20,Male,<bach,4,5.45,emonitor,against,1,Ingroup,0,926
20,Male,<bach,4,5.45,emonitor,against,1,Liberty,0,926
20,Male,<bach,4,5.45,emonitor,against,1,other,0,926
20,Male,<bach,4,5.45,emonitor,against,1,Purity,0,926
20,Male,<bach,4,5.45,emonitor,against,1,Violence,0,926
20,Male,<bach,4,5.45,emonitor,pro,0,Authority,0,926
20,Male,<bach,4,5.45,emonitor,pro,0,Fairness,0,926
20,Male,<bach,4,5.45,emonitor,pro,0,Harm,0,926
20,Male,<bach,4,5.45,emonitor,pro,0,Ingroup,1,926
20,Male,<bach,4,5.45,emonitor,pro,0,Liberty,0,926
20,Male,<bach,4,5.45,emonitor,pro,0,other,0,926
20,Male,<bach,4,5.45,emonitor,pro,0,Purity,1,926
20,Male,<bach,4,5.45,emonitor,pro,0,Violence,0,926
20,Male,<bach,4,5.45,givinffor,against,1,Authority,0,926
20,Male,<bach,4,5.45,givinffor,against,1,Fairness,1,926
20,Male,<bach,4,5.45,givinffor,against,1,Harm,1,926
20,Male,<bach,4,5.45,givinffor,against,1,Ingroup,0,926
20,Male,<bach,4,5.45,givinffor,against,1,Liberty,1,926
20,Male,<bach,4,5.45,givinffor,against,1,other,0,926
20,Male,<bach,4,5.45,givinffor,against,1,Purity,0,926
20,Male,<bach,4,5.45,givinffor,against,1,Violence,0,926
20,Male,<bach,4,5.45,givinffor,pro,0,Authority,1,926
20,Male,<bach,4,5.45,givinffor,pro,0,Fairness,0,926
20,Male,<bach,4,5.45,givinffor,pro,0,Harm,0,926
20,Male,<bach,4,5.45,givinffor,pro,0,Ingroup,1,926
20,Male,<bach,4,5.45,givinffor,pro,0,Liberty,0,926
20,Male,<bach,4,5.45,givinffor,pro,0,other,0,926
20,Male,<bach,4,5.45,givinffor,pro,0,Purity,0,926
20,Male,<bach,4,5.45,givinffor,pro,0,Violence,0,926
20,Male,<bach,4,5.45,givinfusa,against,1,Authority,0,926
20,Male,<bach,4,5.45,givinfusa,against,1,Fairness,1,926
20,Male,<bach,4,5.45,givinfusa,against,1,Harm,0,926
20,Male,<bach,4,5.45,givinfusa,against,1,Ingroup,0,926
20,Male,<bach,4,5.45,givinfusa,against,1,Liberty,1,926
20,Male,<bach,4,5.45,givinfusa,against,1,other,0,926
20,Male,<bach,4,5.45,givinfusa,against,1,Purity,0,926
20,Male,<bach,4,5.45,givinfusa,against,1,Violence,0,926
20,Male,<bach,4,5.45,givinfusa,pro,0,Authority,1,926
20,Male,<bach,4,5.45,givinfusa,pro,0,Fairness,0,926
20,Male,<bach,4,5.45,givinfusa,pro,0,Harm,1,926
20,Male,<bach,4,5.45,givinfusa,pro,0,Ingroup,0,926
20,Male,<bach,4,5.45,givinfusa,pro,0,Liberty,0,926
20,Male,<bach,4,5.45,givinfusa,pro,0,other,0,926
20,Male,<bach,4,5.45,givinfusa,pro,0,Purity,1,926
20,Male,<bach,4,5.45,givinfusa,pro,0,Violence,0,926
20,Male,<bach,4,5.45,paidlvdv,against,1,Authority,0,926
20,Male,<bach,4,5.45,paidlvdv,against,1,Fairness,1,926
20,Male,<bach,4,5.45,paidlvdv,against,1,Harm,0,926
20,Male,<bach,4,5.45,paidlvdv,against,1,Ingroup,0,926
20,Male,<bach,4,5.45,paidlvdv,against,1,Liberty,0,926
20,Male,<bach,4,5.45,paidlvdv,against,1,other,1,926
20,Male,<bach,4,5.45,paidlvdv,against,1,Purity,0,926
20,Male,<bach,4,5.45,paidlvdv,against,1,Violence,0,926
20,Male,<bach,4,5.45,paidlvdv,pro,0,Authority,1,926
20,Male,<bach,4,5.45,paidlvdv,pro,0,Fairness,0,926
20,Male,<bach,4,5.45,paidlvdv,pro,0,Harm,0,926
20,Male,<bach,4,5.45,paidlvdv,pro,0,Ingroup,0,926
20,Male,<bach,4,5.45,paidlvdv,pro,0,Liberty,1,926
20,Male,<bach,4,5.45,paidlvdv,pro,0,other,0,926
20,Male,<bach,4,5.45,paidlvdv,pro,0,Purity,0,926
20,Male,<bach,4,5.45,paidlvdv,pro,0,Violence,0,926
31,Male,bach,2,9,cctv,against,0,Authority,0,927
31,Male,bach,2,9,cctv,against,0,Fairness,0,927
31,Male,bach,2,9,cctv,against,0,Harm,0,927
31,Male,bach,2,9,cctv,against,0,Ingroup,0,927
31,Male,bach,2,9,cctv,against,0,Liberty,0,927
31,Male,bach,2,9,cctv,against,0,other,1,927
31,Male,bach,2,9,cctv,against,0,Purity,0,927
31,Male,bach,2,9,cctv,against,0,Violence,0,927
31,Male,bach,2,9,cctv,pro,1,Authority,0,927
31,Male,bach,2,9,cctv,pro,1,Fairness,0,927
31,Male,bach,2,9,cctv,pro,1,Harm,0,927
31,Male,bach,2,9,cctv,pro,1,Ingroup,0,927
31,Male,bach,2,9,cctv,pro,1,Liberty,0,927
31,Male,bach,2,9,cctv,pro,1,other,0,927
31,Male,bach,2,9,cctv,pro,1,Purity,0,927
31,Male,bach,2,9,cctv,pro,1,Violence,1,927
31,Male,bach,2,9,emonitor,against,1,Authority,0,927
31,Male,bach,2,9,emonitor,against,1,Fairness,1,927
31,Male,bach,2,9,emonitor,against,1,Harm,0,927
31,Male,bach,2,9,emonitor,against,1,Ingroup,0,927
31,Male,bach,2,9,emonitor,against,1,Liberty,0,927
31,Male,bach,2,9,emonitor,against,1,other,1,927
31,Male,bach,2,9,emonitor,against,1,Purity,1,927
31,Male,bach,2,9,emonitor,against,1,Violence,0,927
31,Male,bach,2,9,emonitor,pro,0,Authority,1,927
31,Male,bach,2,9,emonitor,pro,0,Fairness,0,927
31,Male,bach,2,9,emonitor,pro,0,Harm,0,927
31,Male,bach,2,9,emonitor,pro,0,Ingroup,0,927
31,Male,bach,2,9,emonitor,pro,0,Liberty,0,927
31,Male,bach,2,9,emonitor,pro,0,other,0,927
31,Male,bach,2,9,emonitor,pro,0,Purity,0,927
31,Male,bach,2,9,emonitor,pro,0,Violence,0,927
31,Male,bach,2,9,givinffor,against,1,Authority,0,927
31,Male,bach,2,9,givinffor,against,1,Fairness,0,927
31,Male,bach,2,9,givinffor,against,1,Harm,0,927
